epoch,negative_elbo
1,1.3902542423440178e14
2,2.571065869102709e12
3,1.4138567229540573e10
4,1.2180510135162069e7
5,19883.821066441025
6,19321.19347214442
7,18979.786178944345
8,18746.779602298713
9,18588.678504288255
10,18471.48130303405
11,18377.23054861725
12,18295.216649129943
13,18216.716432785106
14,18164.59717608048
15,18109.329669528393
16,18062.84557039329
17,18025.154191004658
18,17990.146351795865
19,17962.80835640597
20,17932.42296778432
21,17901.652474437644
22,17875.51475447904
23,17853.409949276534
24,17830.91657408544
25,17815.60685461607
