epoch,negative_elbo
1,1.7606406797988567e10
2,2.751121063334614e9
3,7.895364050239629e8
4,2.8138148437706506e8
5,1.106835369897089e8
6,4.5620720153266944e7
7,1.9170304677634165e7
8,8.076111411343849e6
9,3.365303676420334e6
10,1.3739860430705182e6
11,544195.0030521732
12,207142.1096512402
13,75879.2644146335
14,28160.98474182745
15,12675.28087281609
16,8495.729015008788
17,7622.200104025038
18,7456.6652633638205
19,7401.8537586848615
20,7372.435903067968
21,8213.026152240407
22,8127.565639856036
23,8070.1503921785525
24,8032.9642401855035
25,7994.390200545772
26,7958.92309959869
27,7931.466136668585
28,7900.110173280226
29,7876.208111835376
30,7850.437916848873
31,16212.33466613702
32,16199.112877293703
33,16158.95404346243
34,16098.893832942194
35,16113.6364434948
36,16137.307224321627
37,16156.195371453692
38,16152.982578068017
39,16046.565463309034
40,16042.75777625925
