epoch,negative_elbo
1,1.389389105211459e14
2,2.5581017389997686e12
3,1.37422858213535e10
4,2.024290991384252e7
5,94779.40919079907
6,93128.88979973683
7,92885.33715036203
8,92920.54693190807
9,90639.07757352703
10,90208.93261881432
11,32493.384398413473
12,21182.099688775343
13,19624.662847704683
14,19065.849729343245
15,18818.462070074882
16,18641.69898384566
17,18492.04443500593
18,18367.791641420554
19,18283.939408827573
20,18214.576918753417
21,18165.038960673737
22,18118.176197326717
23,18077.863248629023
24,18048.07411843187
25,18009.566208954755
