epoch,negative_elbo
18,27066.914040896478
19,27063.315101527664
20,27060.839678346783
epoch,negative_elbo
1,134311.49643435917
2,87348.0982487458
3,77702.41634864491
4,17002.352136708472
5,12711.523591435442
6,11570.435648931296
7,10855.31961559462
8,10291.937620290637
9,9872.431114712812
10,9533.308637045626
11,9230.642968907872
12,8987.698507364274
13,8785.125734347905
14,8601.64675019824
15,8428.91237410435
16,8286.884096080437
17,8157.980508162984
18,8030.941682213145
19,7899.424281724484
20,7755.46280960763
epoch,negative_elbo
1,20159.729548054795
2,19729.93257989169
3,19644.586570778232
4,19626.516137225994
5,19616.79485594348
6,19609.802156561887
7,19606.974101215696
8,19604.15007802931
9,19602.123222146667
10,19600.948232907114
11,19600.532512655467
12,19600.02130597693
13,19596.238412026734
14,19594.877282162808
15,19597.051162113676
16,19595.56680181332
17,19592.84112820865
18,19594.320952258728
19,19593.97025011993
20,19592.158166380963
epoch,negative_elbo
1,127780.79592698472
2,82141.64467121229
3,76406.36683992247
4,34500.534086082764
5,13527.096501519354
6,12155.541943136974
7,11414.012293587022
8,10880.110562656168
9,10475.333755098929
10,10152.307342101716
11,9872.050256968927
12,9630.91672577185
13,9429.621792768237
14,9237.908694318961
15,9073.630866096046
16,8930.79256927619
17,8803.782243860003
18,8680.88390677051
19,8577.132586099879
20,8473.596638258588
21,34696.50504076782
22,27380.70950122947
23,26389.181219704027
24,26079.185282155682
25,25793.15892622726
26,25651.317669721306
27,25605.153924816037
28,25559.839613332744
29,25497.205030282206
30,25473.23350424786
21,8409.613814040991
22,8282.740327459485
23,8180.784609682743
24,8017.99905996542
25,7824.340244636759
26,7699.141749220541
27,7615.317890137238
28,7554.474440086307
29,7503.059869344681
30,7456.470607416135
31,23825.77972218961
32,22755.73888026263
33,22543.67877796308
34,22454.171352794383
35,22386.418786828886
36,22346.84248073576
37,22313.469366124387
38,22300.322958552075
39,22295.665782229113
40,22292.99665088403
31,26292.338651390688
32,13078.333817238676
33,12280.008150733474
34,11939.938865583645
35,11721.017447779264
36,11562.726010995475
37,11474.708367020457
38,11409.940735510398
39,11364.869234503316
40,11343.03100402285
31,12852.12541665126
32,13187.44895710862
33,13473.908518062042
34,13618.569948673963
35,13758.738839728592
36,14001.898710729552
37,14070.161212745363
38,14054.994318460653
39,14154.684643071063
40,14213.323631390225
31,14739.069296512303
32,15545.992495436227
33,15676.965166218914
34,15901.57438711936
35,15910.825586091269
36,16134.532507523976
37,16309.814266464984
38,16478.280389443506
39,16557.767145626935
40,16687.889280421146
31,8653.616071760298
32,8639.095497434642
33,8685.026470389214
34,8708.752005303759
35,8723.065602957638
36,8757.573378372199
37,8767.301503324274
38,8765.835974541591
39,8772.73928622806
40,8757.626485136152
31,7455.920074684375
32,7080.72572700694
33,6977.579039772247
34,6915.221743268681
35,6893.142172359333
36,6862.977102564526
37,6846.494206620037
38,6835.62387717573
39,6825.857093350976
40,6817.464934466041
31,6810.923760932743
32,6804.34712244221
33,6796.231642813452
34,6793.236875283644
35,6785.036849490238
36,6774.207735874496
37,6765.989251920323
38,6759.372770024504
39,6751.533762584196
40,6746.474671430776
31,7156.73879673451
32,6955.124757519533
33,6929.034223067304
34,6911.1481945637925
35,6902.41255435446
36,6893.410024816305
37,6882.8184576523845
38,6878.9515570999665
39,6870.089544995719
40,6870.012904014506
31,21578.322595307116
32,16696.848861329778
33,16421.868533465615
34,16296.957081623792
35,16208.364613968655
36,16149.179543598459
37,16097.864793388439
38,16056.349094890553
39,16022.70868100037
40,15993.392882765038
31,21592.81873403729
32,16689.531644313847
33,16425.84607105905
34,16306.442539113477
35,16226.403884651932
31,22566.61976337107
32,17151.952242250612
33,16830.638254003283
34,16673.3622149197
35,16576.418706626304
31,28780.58986283801
32,21582.982829303324
33,20765.44852910923
34,20429.04312252017
35,19899.986537370743
31,26323.77860255803
32,19572.472750963934
33,19087.403243664925
34,18683.06831232054
35,18454.355531152447
31,25271.915102133844
32,18569.673001769293
33,18008.211609147016
34,17693.884489800414
35,17514.420247738082
31,23820.037725926646
32,17896.21080835607
33,17372.229676403207
34,17157.045077356932
35,17026.650918085685
31,22916.877773723125
32,17181.451183647463
33,16857.0630156268
34,16715.595972555864
35,16626.54701930329
31,16628.573971998692
32,16513.478637623775
33,16470.313840693005
34,16439.165699185625
35,16403.05442093408
36,16375.157607371288
37,16349.966257819813
38,16325.122323181527
39,16305.064828984696
40,16290.281260505119
41,16272.485199601091
42,16257.546551074036
43,16245.900065447257
44,16227.806198899812
45,16218.392625078408
46,16209.049405460783
47,16198.863292786305
48,16190.794754134955
49,16179.98089754628
50,16175.63689332218
31,21497.571788190584
32,16650.05572719639
33,16384.66271651955
34,16277.736967486253
35,16206.20725649368
36,16153.19979245545
37,16112.10677065082
38,16077.863268147834
39,16046.369722805646
40,16016.476205599074
41,15993.304530825297
42,15972.56840376459
43,15954.510939311676
44,15935.145237831928
45,15921.925568354882
46,15907.8630628856
47,15891.073626046249
48,15883.398625843603
49,15867.59958489327
50,15857.4074377492
