epoch,negative_elbo
1,1.3730245556938408e14
2,2.5284654631416865e12
3,1.4091752233329443e10
4,1.3092348922812426e7
5,21961.696030368923
6,19731.014329520196
7,19132.782157982303
8,18854.1372447255
9,18658.514602335807
10,18511.603631954073
11,18389.00663570641
12,18301.894042309992
13,18232.84782684835
14,18182.460891459752
15,18130.511274302797
16,18088.884681516352
17,18058.593788174865
18,18027.509284861488
19,17996.4822830854
20,17959.343384041167
21,23300.80161214557
22,17895.710007770496
23,17872.742085180675
24,17855.831297825553
25,17834.985935645196
26,17818.075593527945
27,17800.579233314493
28,17785.777878243858
29,17774.592180777177
30,17754.94089283848
31,17751.101560481777
32,17733.93214517919
33,17723.77051848643
34,17718.854549648633
35,17704.46639783458
36,17697.472382941978
37,17687.178952059174
38,17680.261891815728
39,17670.626794089676
40,17668.590223043047
