epoch,negative_elbo
15,16.726810310994264
16,15.700886148485248
17,15.083015810149789
18,14.672381982263625
19,14.42755011259396
20,14.319675277510251
21,14.25705118604557
22,14.198326561658178
23,14.14410800834119
24,14.131074272378429
25,14.122264739370168
26,14.092412308011342
27,14.132497191232595
28,14.102148065490267
29,14.107369739036162
30,14.132389076396944
epoch,negative_elbo
1,10058.058338372726
2,5556.316986911339
3,4092.036717817675
4,2836.2835017266525
5,1876.9265655883282
6,1247.3871474532225
7,802.7764812581827
8,497.83560065305085
9,298.35862136170283
10,175.9920259061408
11,106.46821221517985
12,68.6706162673283
13,47.07621723150739
14,34.45820708903509
15,27.65173448755034
16,24.004559449747966
17,22.266773244418903
18,21.170934873758288
19,20.71757801223297
20,20.410855059150542
21,20.146857935730896
22,20.317534355377955
23,20.148868495368063
24,20.30114074595361
25,19.994526880612497
26,20.033473134425588
27,20.322380280813526
28,20.14126940355495
29,20.219616908946062
30,20.216916054254828
epoch,negative_elbo
1,4674.41394912356
2,3520.953285213773
3,3024.6172166457027
4,2722.2046428254453
5,2482.6632785277866
6,2287.9779328017758
7,2114.1765114947334
8,1945.7421244242562
9,1787.0887108500447
10,1644.2859130553322
11,1510.117010884464
12,1384.6341303339323
13,1262.1183879305493
14,1151.9735351197905
15,1045.5516625549503
16,941.9814048844034
17,838.7543046389022
18,728.9286399231288
19,621.7309515883512
20,507.00329910477785
21,387.9115379011752
22,281.6833778655909
23,185.45643875794792
24,95.47757378690034
25,25.639359460002662
26,-37.88003139264833
27,-97.79806405987983
28,-147.15132627033768
29,-191.6938156057803
30,-227.53242723671673
epoch,negative_elbo
1,5966.669578118318
2,4837.099668734662
3,4358.717076812214
4,4056.3144880285013
5,3820.45342121845
6,3615.8660299287003
7,3429.4733407816398
8,3261.1573282392874
9,3102.3248209393637
10,2947.50298934541
11,2802.714006043225
12,2672.6352689546884
13,2545.375673774744
14,2419.867345640632
15,2290.1787582729676
16,2167.73380467024
17,2054.638378177185
18,1944.6919382526946
19,1839.5083359633056
20,1748.4281630092403
21,1662.3665909340207
22,1574.8524874771017
23,1487.5465686539815
24,1401.2371638961363
25,1327.3838061395234
26,1268.811947016506
27,1209.7554268123072
28,1150.866014071848
29,1102.5363791430514
30,1058.1041820891173
epoch,negative_elbo
1,5328.4532240783265
2,2964.87970248245
3,1729.6982968172047
4,557.5962475046263
5,238.12588419012795
6,86.62060078351817
7,29.965620120454886
8,12.02731613782508
9,7.153431323770554
10,6.2650454631680095
11,6.166204258021173
12,6.155686101526931
13,6.144949774755054
14,6.13643916948213
15,6.143319882244457
16,6.150169409759092
17,6.136973208268208
18,6.128808418158536
19,6.141004741915855
20,6.13487738158017
21,6.14757664479752
22,6.138215847555696
23,6.14744092011254
24,6.1412556173114465
25,6.139799765892311
26,6.140507163518444
27,6.139409714818807
28,6.172919029608047
29,6.130703489977939
30,6.144785017061818
epoch,negative_elbo
1,16054.956786663908
2,15270.007630808486
3,14892.792026803469
4,14631.461956752919
5,14419.91699836664
6,14227.793692418338
7,14050.564277006095
8,13883.038567595677
9,13721.635636750716
10,13573.370544840427
11,13424.458084700786
12,13279.868421723715
13,13137.815355040842
14,13000.677042569252
15,12859.104183494728
16,12716.965028333227
17,12574.846159209186
18,12441.441442503683
epoch,negative_elbo
1,5575.421505712935
2,3318.993807566083
3,2168.8565572488274
4,370.5318657797161
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,5432.927044165402
2,3128.2547182882213
3,1982.5127203594618
4,62.8035244872615
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,5357.270009698403
2,2992.5957296812344
3,1724.276788933441
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,5929.593806611496
2,4688.740690480168
3,4178.3700354403845
4,3870.7138553408436
5,3646.3091814787413
6,3452.980075344286
7,3282.814050748755
8,3118.4783233936264
9,2957.202772677458
10,2803.108972931754
11,2664.9057332394987
12,2536.34658135464
13,2409.771571637039
14,2279.582136756996
15,2166.1015202755516
epoch,negative_elbo
1,5890.042341329341
2,4704.085848197641
3,4205.885116840839
4,3905.3328474129275
5,3675.24353673506
6,3475.908169184779
7,3299.6902035192265
8,3156.2377002052494
9,3016.117324328139
10,2884.8824683804123
11,2754.4348805871546
12,2628.3465952145903
13,2505.597315213747
14,2379.662135091404
15,2242.320547109168
epoch,negative_elbo
1,5146.284634931251
2,2739.359844109995
3,1490.369596398735
4,471.6463678991471
5,184.7722146222758
6,60.42123513468628
epoch,negative_elbo
1,3873.458062620438
2,1205.2086207551026
3,326.7145803728232
4,72.78944939837774
5,13.548368433122498
6,2.342440360404179
7,0.6675153236854424
8,0.40579821427040413
9,0.3403293946256745
10,0.3187694831474559
11,0.3120550655057866
12,0.31040208202468617
13,0.31011916021784824
14,0.31008810114009205
15,0.3101075329307265
epoch,negative_elbo
1,3441.07317630381
2,803.2932565228364
3,173.838965604055
4,32.937487937044445
5,6.02463594093667
6,1.4926835730254044
7,0.658725965397616
8,0.4281806060623652
9,0.34811549765259314
10,0.3213469405224971
11,0.31296582659824657
12,0.3105596635182475
13,0.30993436017531817
14,0.30979878970011476
15,0.30976354451419846
epoch,negative_elbo
1,3448.058255094742
2,811.2295813332879
epoch,negative_elbo
1,3458.3821433869994
2,814.8387952683096
3,178.4032213784639
4,35.4623519465625
5,8.624782103569656
6,4.216702224875876
7,3.39843683267798
8,3.1544712080063526
9,3.0628627501015457
10,3.030666343639207
11,3.020362733029533
12,3.017446452195201
13,3.0169099235235652
14,3.0166395151008074
15,3.0168222236494424
epoch,negative_elbo
1,5130.004761531135
2,2893.4356294223994
3,1765.722175924336
4,1156.7244211465847
5,787.3877540884462
6,217.61866977807637
7,108.72408399034589
8,50.47486667890756
9,26.151931109967116
10,18.634835724260203
11,17.022405657105026
12,16.749821135126012
13,16.653486765924615
14,16.61533498355839
15,16.609212592028758
epoch,negative_elbo
1,50754.15445457457
2,50505.8851225718
3,50439.41428877914
4,50375.08010802372
5,50302.81342860349
6,50228.76694861561
7,50148.400403116204
8,50065.33062270086
9,49964.313658387124
10,49873.83873871053
11,49746.719814963944
12,49635.969503214656
13,49530.90834335765
14,49396.534751500396
15,49272.09339533309
epoch,negative_elbo
1,10493.935996247174
2,9890.127673421355
3,9399.014132709848
4,8952.283157620152
5,8535.504107304765
6,8143.6357333344395
7,7779.675638305314
8,7443.327165232729
9,7134.891091138216
10,6855.505125089194
11,6600.289948369472
12,6365.334261371422
13,6149.259297120472
14,5953.098898948641
15,5775.470256043326
epoch,negative_elbo
1,10497.77794869543
2,9900.364023410868
3,9418.664127399823
4,8976.616647473957
5,8559.756650407211
6,8162.163566552549
7,7786.860892596581
8,7436.760343481148
9,7114.137305819802
10,6816.117920393122
11,6541.418525583288
12,6292.191731759958
13,6072.182248321767
14,5873.7884473906115
15,5696.604368867488
16,5540.491683219151
17,5401.013347135181
18,5273.463713487272
19,5160.12857189322
20,5058.924443436592
21,4969.565824879975
22,4893.901179951395
23,4829.738769540407
24,4769.99596009693
25,4570.917658450067
26,548.9681823390938
27,394.2234685751675
28,354.6024155710308
29,312.22791152201717
30,271.21359812132215
31,233.48497335198823
32,204.04988011992882
33,184.1183248730088
34,172.88950888357414
35,167.49659110089138
36,164.83545220147616
37,163.8170844591356
38,163.06777944191978
39,162.300482332733
40,162.00387162947882
41,161.8121456457812
42,161.91614462290374
43,161.4358823505345
44,161.15006586196927
45,161.13242950236756
46,161.38465603838372
47,161.07229822599945
48,161.00398767759611
49,160.95691803478658
50,160.86609112515626
epoch,negative_elbo
1,Inf
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,Inf
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,Inf
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,Inf
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
